run_date,symbol,side,session,event_date,closed,qty,entry_px,exit_px,entry_utc,exit_utc,hold_hours,entry_notional_usd,ret_pct,pnl_usd,impact_sum,entry_source,exit_source,exit_tif,n_exit_fills,partial_exit_days,entry_spread_pct,theo_ret_close_pct,policy_gap_pct,theo_exit_hour,theo_ret_at_exit_pct,exec_gap_pct
2026-09-10,HOFT,long,bmo,2026-09-11,True,161.0,12.6186,13.5192,2026-09-10T17:59:44.165179Z,2026-09-14T17:12:49.762829Z,95.22,2031.59,7.137,145.0,7.3,stage E,stage E,cls,3,2,,2.068,5.069,,,
2026-09-10,ORCL,short,amc,2026-09-10,True,12.0,155.78,165.43,2026-09-10T17:59:44.832204Z,2026-09-11T13:30:26.866348Z,19.51,1869.36,-6.195,-115.8,-3.2,stage E,stage E,opg,1,1,,1.739,-7.934,17.5,-1.722,-4.473
2026-09-10,FEIM,short,amc,2026-09-10,True,31.0,63.42,81.9,2026-09-10T17:59:44.997518Z,2026-09-11T13:34:08.572248Z,19.57,1966.02,-29.139,-572.88,-3.5,stage E,manual,,4,1,,-42.411,13.272,17.5,-31.059,1.92
2026-09-10,RH,long,amc,2026-09-10,True,14.0,138.9779,137.51,2026-09-10T17:59:45.175036Z,2026-09-11T13:33:57.765063Z,19.57,1945.69,-1.056,-20.55,3.0,stage E,manual,,4,1,,0.037,-1.093,17.5,3.784,-4.84
2026-09-11,CODA,short,bmo,2026-09-14,True,183.0,10.1,10.7292,2026-09-11T17:24:16.170523Z,2026-09-15T17:05:40.64136Z,95.69,1848.3,-6.23,-115.14,-4.1,stage E,stage E,day,2,2,0.297,-7.086,0.856,,,
2026-09-14,FPS,long,bmo,2026-09-15,True,64.0,29.28,33.85,2026-09-14T17:35:40.493422Z,2026-09-16T13:49:30.537755Z,44.23,1873.92,15.608,292.48,3.0,stage E,manual,,1,1,0.103,9.497,6.111,,,
2026-09-14,VRA,long,bmo,2026-09-15,True,642.0,2.94,4.17,2026-09-14T17:35:40.76042Z,2026-09-16T13:49:28.529779Z,44.23,1887.48,41.837,789.66,7.2,stage E,manual,,3,1,17.311,34.539,7.298,,,
2026-09-14,RLGT,long,amc,2026-09-14,True,224.0,8.35,9.79,2026-09-14T17:35:40.909356Z,2026-09-15T19:15:08.80572Z,25.66,1870.4,17.246,322.56,3.0,stage E,manual,,3,1,0.24,19.488,-2.242,23.0,20.097,-2.851
2026-09-15,LUXE,long,bmo,2026-09-16,True,292.0,7.2,9.03,2026-09-15T17:24:41.297719Z,2026-09-16T17:52:59.718232Z,24.47,2102.4,25.417,534.36,3.0,stage E,manual,,1,1,0.278,23.217,2.2,22.0,25.625,-0.208
2026-09-16,ALMU,short,amc,2026-09-16,True,167.0,13.35,12.1,2026-09-16T17:25:59.277925Z,2026-09-17T13:47:36.121334Z,20.36,2229.45,9.363,208.75,-5.0,stage E,manual,,1,1,0.672,14.036,-4.673,18.0,13.03,-3.667
2026-09-16,LEN,short,amc,2026-09-16,True,28.0,79.96,77.83,2026-09-16T17:25:59.779029Z,2026-09-17T13:47:39.082009Z,20.36,2238.88,2.664,59.64,-3.0,stage E,manual,,1,1,0.424,-1.71,4.374,18.0,0.294,2.37
2026-09-17,TRT,long,bmo,2026-09-18,True,338.0,11.2592,11.42,2026-09-17T19:58:29.237911Z,2026-09-18T13:31:44.869256Z,17.55,3805.6,1.428,54.36,5.1,stage E,stage E,day,1,1,29.154,,,,,
2026-09-22,MANU,long,bmo,2026-09-23,True,187.0,20.43,20.28,2026-09-22T17:45:47.334696Z,2026-09-23T17:05:34.003958Z,23.33,3820.41,-0.734,-28.05,4.5,stage E,stage E,day,1,1,0.196,-0.098,-0.636,21.0,-0.78,0.046
2026-09-22,WOR,short,amc,2026-09-22,True,64.0,59.23,64.75,2026-09-22T17:45:48.144693Z,2026-09-23T13:31:33.145661Z,19.76,3790.72,-9.32,-353.28,-3.4,stage E,stage E,day,1,1,29.847,-1.289,-8.031,17.5,-6.795,-2.525
