event_date,run_date,ticker,session,run,impact_sum,conviction,above_floor,n_findings,n_clusters,hunters,priced_lean_pct,runup_20d_pct,runup_5d_pct,implied_move_pct,implied_basis,deadband_pct,hist_median_abs_move_pct,hist_n,baseline_quality,spot,dollar_vol_20d,entry_date,exit_date,move_pct,move_over_implied,sign_agreed,abs_error_pts,resolved
2026-08-31,2026-08-31,IRS,amc,backtest/runs/edge-corpus/2026-08-31,,,,0,0,0,0.089,-1.77,-0.8,1.69,history_proxy,1.5,1.69,8,,14.96,1831029,2026-08-31,2026-09-01,0.47,0.278,,,1
2026-08-31,2026-08-31,SY,bmo,backtest/runs/edge-corpus/2026-08-31,-7.25,7.25,1,2,1,1,-1.522,30.43,4.8,7.12,history_proxy,3.56,7.12,8,,2.4,412536,2026-08-28,2026-08-31,21.25,2.985,0,28.5,1
2026-08-31,2026-08-31,SAIC,bmo,backtest/runs/edge-corpus/2026-08-31,-7.0,7.0,1,3,3,1,-0.377,7.54,-1.62,8.79,history_proxy,4.39,8.79,8,,125.96,51221004,2026-08-28,2026-08-31,1.79,0.204,0,8.79,1
2026-08-31,2026-08-31,GAUZ,bmo,backtest/runs/edge-corpus/2026-08-31,-12.25,12.25,1,2,1,1,-2.109,42.18,-1.51,2.95,history_proxy,1.5,2.95,8,,0.391,5720846,2026-07-17,2026-09-10,-7.08,-2.4,1,5.17,1
2026-08-31,2026-08-31,CANG,amc,backtest/runs/edge-corpus/2026-08-31,-7.5,7.5,1,2,2,1,-2.423,48.45,3.91,4.97,history_proxy,2.48,4.97,8,,2.39,1235248,2026-08-31,2026-09-01,-23.01,-4.63,1,15.51,1
2026-08-31,2026-08-31,LX,bmo,backtest/runs/edge-corpus/2026-08-31,-7.0,7.0,1,2,2,1,0.959,-19.18,-11.28,6.25,history_proxy,3.12,6.25,8,,1.18,2340778,2026-08-28,2026-08-31,-9.32,-1.491,1,2.32,1
2026-09-01,2026-09-01,YEXT,bmo,backtest/runs/edge-corpus/2026-09-01,1.5,1.5,0,1,1,1,-0.96,19.19,3.68,4.33,history_proxy,2.17,4.33,8,,6.77,4992096,2026-08-31,2026-09-01,-3.55,-0.82,0,5.05,1
2026-09-01,2026-09-01,PANW,amc,backtest/runs/edge-corpus/2026-09-01,0.7,0.7,0,1,1,1,0.058,-1.16,6.53,5.64,history_proxy,2.82,5.64,7,,362.09,2056892075,2026-09-01,2026-09-02,-9.28,-1.645,0,9.98,1
2026-09-01,2026-09-01,CRDO,amc,backtest/runs/edge-corpus/2026-09-01,,,,0,0,0,0.658,-13.15,-8.78,13.97,history_proxy,6.99,13.97,7,,206.63,899272357,2026-09-01,2026-09-02,-20.04,-1.435,,,1
2026-09-01,2026-09-01,DELL,amc,backtest/runs/edge-corpus/2026-09-01,,,,0,0,0,0.453,-9.05,-5.87,8.88,history_proxy,4.44,8.88,7,,425.0,2475797125,2026-09-01,2026-09-02,15.81,1.78,,,1
