event_date,run_date,ticker,session,run,impact_sum,conviction,above_floor,n_findings,n_clusters,hunters,priced_lean_pct,runup_20d_pct,runup_5d_pct,implied_move_pct,implied_basis,deadband_pct,hist_median_abs_move_pct,hist_n,baseline_quality,spot,dollar_vol_20d,entry_date,exit_date,move_pct,move_over_implied,sign_agreed,abs_error_pts,resolved
2026-09-01,2026-08-31,NIO,bmo,research/2026/08/2026-08-31/edge,0.55,0.55,0,5,3,1,4.607,-9.15,0.23,9.76,straddle,1.69,3.37,8,,4.37,117172784,2026-08-31,2026-09-01,-4.02,-0.412,0,4.57,1
2026-09-01,2026-08-31,HMR,bmo,research/2026/08/2026-08-31/edge,-1.65,1.65,0,7,3,1,-1.216,24.33,-1.42,5.13,history_proxy,2.56,5.13,6,,1.3801,69266,2026-08-31,2026-09-01,-10.79,-2.103,1,9.14,1
2026-09-01,2026-08-31,MDT,bmo,research/2026/08/2026-08-31/edge,0.075,0.075,0,4,4,1,0.048,4.38,-2.61,4.57,straddle,1.57,3.14,7,,90.4734,564339142,2026-08-31,2026-09-01,1.53,0.335,1,1.455,1
2026-09-01,2026-08-31,MMED,bmo,research/2026/08/2026-08-31/edge,-0.3,0.3,0,10,7,2,-0.228,4.55,0.15,15.93,history_proxy,7.96,15.93,1,,19.97,22664932,2026-08-31,2026-09-01,10.66,0.669,0,10.96,1
2026-09-01,2026-08-31,ZEPP,bmo,research/2026/08/2026-08-31/edge,-4.4,4.4,1,5,5,1,-0.649,12.98,0.3,15.97,history_proxy,7.99,15.97,7,,5.005,190115,2026-08-31,2026-09-01,-6.64,-0.416,1,2.24,1
2026-08-31,2026-08-31,CANG,amc,research/2026/08/2026-08-31/edge,-4.5,4.5,1,5,4,1,-2.187,43.73,0.61,4.97,history_proxy,2.48,4.97,8,,2.314,1095945,2026-08-31,2026-09-01,-23.01,-4.63,1,18.51,1
2026-09-01,2026-08-31,YEXT,bmo,research/2026/08/2026-08-31/edge,-6.45,6.45,1,6,4,1,-1.004,20.07,4.44,4.33,history_proxy,2.17,4.33,8,,6.82,4614685,2026-08-31,2026-09-01,-3.55,-0.82,1,2.9,1
2026-09-01,2026-08-31,RZLV,bmo,research/2026/08/2026-08-31/edge,-18.35,18.35,1,9,4,2,-0.521,10.41,16.77,12.04,straddle,5.44,,0,,2.8375,44972173,2026-08-31,2026-09-01,-17.3,-1.437,1,1.05,1
2026-09-01,2026-09-01,SPWH,amc,research/2026/09/2026-09-01/edge,11.25,11.25,1,7,3,2,-0.152,3.04,3.95,14.11,history_proxy,7.05,14.11,8,,1.185,327379,2026-09-01,2026-09-02,6.67,0.473,1,4.58,1
2026-09-01,2026-09-01,CRDO,amc,research/2026/09/2026-09-01/edge,2.35,2.35,0,3,3,1,-3.509,-1.19,-3.08,9.6,straddle,6.99,13.97,7,,215.75,884909844,2026-09-01,2026-09-02,-20.04,-2.087,0,22.39,1
2026-09-01,2026-09-01,DELL,amc,research/2026/09/2026-09-01/edge,5.25,5.25,1,2,2,1,4.32,-5.58,-2.28,9.29,straddle,4.44,8.88,7,,441.19,2250641665,2026-09-01,2026-09-02,15.81,1.702,1,10.56,1
2026-09-02,2026-09-01,FCEL,bmo,research/2026/09/2026-09-01/edge,1.3,1.3,0,3,2,1,-6.03,-25.67,-13.3,10.36,straddle,5.67,11.35,8,,16.7246,122479882,2026-09-01,2026-09-02,-15.69,-1.514,0,16.99,1
2026-09-02,2026-09-01,CXM,bmo,research/2026/09/2026-09-01/edge,-9.2,9.2,1,10,5,2,-1.131,22.63,7.61,,,2.48,,0,,7.9955,22051229,2026-09-01,2026-09-02,-8.55,,1,0.65,1
2026-09-01,2026-09-01,PANW,amc,research/2026/09/2026-09-01/edge,-2.6,2.6,0,3,3,1,6.643,4.86,3.73,7.77,straddle,3.97,,0,,363.995,1961950522,2026-09-01,2026-09-02,-9.28,-1.194,1,6.68,1
2026-09-01,2026-09-01,MDB,amc,research/2026/09/2026-09-01/edge,0.5,0.5,0,2,2,1,0.123,23.17,9.49,14.49,straddle,9.79,19.58,8,,440.92,636369254,2026-09-01,2026-09-02,-13.54,-0.934,0,14.04,1
2026-09-01,2026-09-01,GTLB,amc,research/2026/09/2026-09-01/edge,-2.15,2.15,0,4,4,1,-4.692,28.26,8.59,14.37,straddle,4.33,8.66,8,,45.64,189558301,2026-09-01,2026-09-02,9.98,0.695,0,12.13,1
2026-09-03,2026-09-02,DLTH,bmo,research/2026/09/2026-09-02/edge,11.0,11.0,1,1,1,1,0.67,-13.4,-4.23,29.39,history_proxy,14.7,29.39,7,,3.62,168145,2026-09-02,2026-09-03,23.2,0.789,1,12.2,1
2026-09-03,2026-09-02,DOO,bmo,research/2026/09/2026-09-02/edge,3.2,3.2,1,3,3,1,0.061,-1.23,3.41,6.53,straddle,1.73,3.45,7,,63.67,13357775,2026-09-02,2026-09-03,1.45,0.222,1,1.75,1
2026-09-02,2026-09-02,WOOF,amc,research/2026/09/2026-09-02/edge,4.5,4.5,1,4,3,1,0.524,-10.47,-3.99,23.34,history_proxy,11.67,23.34,7,,2.65,3874904,2026-09-02,2026-09-03,-4.18,-0.179,0,8.68,1
2026-09-02,2026-09-02,NTSK,amc,research/2026/09/2026-09-02/edge,3.7,3.7,1,5,5,1,9.252,-2.46,-0.3,17.81,straddle,9.55,19.11,3,,13.46,57920843,2026-09-02,2026-09-03,4.29,0.241,1,0.59,1
2026-09-02,2026-09-02,MEI,amc,research/2026/09/2026-09-02/edge,-7.9,7.9,1,7,6,2,-5.265,23.87,16.54,7.4,straddle,6.26,,0,,18.705,10891360,2026-09-02,2026-09-03,-15.36,-2.076,1,7.46,1
2026-09-02,2026-09-02,AGX,amc,research/2026/09/2026-09-02/edge,1.6,1.6,0,6,3,1,-2.065,-33.22,-8.43,15.7,straddle,5.54,11.07,7,,412.48,114444638,2026-09-02,2026-09-03,0.33,0.021,1,1.27,1
2026-09-02,2026-09-02,AI,amc,research/2026/09/2026-09-02/edge,-1.4,1.4,0,3,3,1,-12.052,4.93,7.71,12.7,straddle,4.25,8.49,8,,10.545,43192889,2026-09-02,2026-09-03,3.61,0.284,0,5.01,1
2026-09-02,2026-09-02,GOLD,amc,research/2026/09/2026-09-02/edge,-9.15,9.15,1,7,5,2,-0.262,2.27,-6.81,8.87,straddle,2.71,5.41,2,,43.6609,19058027,2026-09-02,2026-09-03,-5.34,-0.602,1,3.81,1
2026-09-03,2026-09-03,SWBI,amc,research/2026/09/2026-09-03/edge,16.3,16.3,1,8,5,2,0.441,-16.35,-7.97,13.16,straddle,9.33,18.66,7,,12.305,5552939,2026-09-03,2026-09-04,5.05,0.384,1,11.25,1
2026-09-03,2026-09-03,ASAN,amc,research/2026/09/2026-09-03/edge,1.85,1.85,0,5,3,1,-4.762,16.05,9.16,14.43,straddle,7.81,15.62,7,,10.305,43029579,2026-09-03,2026-09-04,-12.69,-0.879,0,14.54,1
2026-09-03,2026-09-03,MAMA,amc,research/2026/09/2026-09-03/edge,8.25,8.25,1,4,4,1,0.791,-15.81,-8.32,9.42,straddle,3.04,6.08,8,,15.365,6878496,2026-09-03,2026-09-04,-5.01,-0.532,0,13.26,1
2026-09-03,2026-09-03,AMBA,amc,research/2026/09/2026-09-03/edge,1.0,1.0,0,5,3,2,1.004,-20.07,-6.05,14.44,straddle,8.39,16.78,7,,65.425,59694817,2026-09-03,2026-09-04,-0.77,-0.053,0,1.77,1
2026-09-03,2026-09-03,DOMO,amc,research/2026/09/2026-09-03/edge,-0.55,0.55,0,2,1,1,-0.02,0.39,0.93,18.07,history_proxy,9.04,18.07,7,,3.815,3339804,2026-09-03,2026-09-04,2.37,0.131,0,2.92,1
